Year,Team,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,PHO,21,11,0,16.9,3.1,6.3,0.493,0,0.1,0,3.1,6.2,0.5,0.493,2.6,3.2,0.829,1.5,2.7,4.3,0.3,0.5,0.5,0.6,1.2,8.8
2010,PHO,22,4,0,22.8,2.8,6,0.458,0.8,1,0.75,2,5,0.4,0.521,1.3,1.5,0.833,0.8,2.5,3.3,0.5,0.8,1.8,0.8,3.5,7.5
2011,PHO,23,5,5,35.8,4.6,13.2,0.348,1,4.6,0.217,3.6,8.6,0.419,0.386,2.4,2.8,0.857,2.2,7.2,9.4,1.2,1.4,1.2,1.6,2,12.6
2013,PHO,25,5,5,35.8,4.2,12.6,0.333,0.8,6,0.133,3.4,6.6,0.515,0.365,1.2,1.4,0.857,1,4.2,5.2,3.4,1.2,0.4,2.2,0.8,10.4
2014,PHO,26,8,8,35.9,3.9,10.8,0.36,1.1,3.4,0.333,2.8,7.4,0.373,0.413,2.4,2.6,0.905,1,5,6,2,1.4,0.6,1.8,1.8,11.3
2015,PHO,27,4,4,31.8,5.8,12.8,0.451,2.3,5,0.45,3.5,7.8,0.452,0.539,3.5,3.8,0.933,0.5,5.5,6,2.5,0.3,0.8,2.8,2.5,17.3
2016,PHO,28,5,0,24.2,4,9.4,0.426,0,2.2,0,4,7.2,0.556,0.426,2.8,3.4,0.824,0.8,3.4,4.2,1.6,1,0,2.8,1.6,10.8
2018,PHO,30,7,7,38.6,9.7,18.1,0.535,1.7,5.6,0.308,8,12.6,0.636,0.583,2.9,3.1,0.909,1.3,9.9,11.1,2.4,1.6,0.9,2.1,2.4,24
2019,PHO,31,1,1,33,5,14,0.357,2,3,0.667,3,11,0.273,0.429,9,10,0.9,0,6,6,2,1,0,2,0,21
2020,CON,32,7,7,35,4.7,14.1,0.333,1.4,5,0.286,3.3,9.1,0.359,0.384,4.6,4.6,1,1.1,9.3,10.4,3.9,1.9,1.1,2.3,2.6,15.4
2021,CON,33,4,4,35,4.8,11.8,0.404,1.5,3.8,0.4,3.3,8,0.406,0.468,2.5,2.8,0.909,0.8,6.3,7,1.3,1,1.8,2.8,2.8,13.5
2022,CON,34,12,12,31.5,3.8,11.3,0.341,1.3,4.3,0.294,2.6,7,0.369,0.396,3.3,3.7,0.886,1.2,4.6,5.8,3.6,1.5,0.7,1.7,1.4,12.2
2023,CON,35,7,7,36.9,6,15.6,0.385,2.7,7.4,0.365,3.3,8.1,0.404,0.472,3.4,4.4,0.774,0.6,7.7,8.3,3.4,1,1.6,1.6,2.4,18.1
2024,CON,36,5,5,33.4,4.8,13.2,0.364,2,5.6,0.357,2.8,7.6,0.368,0.439,4.4,4.6,0.957,1.2,6.6,7.8,3.2,1.6,0.6,0.8,1.4,16