game_play_number,type_text,text,period_number,clock_display_value,in_between,note
9,JumpShot,Kiani Lockett missed Three Point Jumper.,1,8:42,FALSE,
14,JumpShot,Angela Dugalic made Three Point Jumper. Assisted by Kiki Rice.,1,7:47,FALSE,
19,JumpShot,Morgan Maly missed Three Point Jumper.,1,6:45,FALSE,
33,JumpShot,Timea Gardiner made Three Point Jumper. Assisted by Kiki Rice.,1,5:20,FALSE,
34,JumpShot,Lauren Jensen missed Three Point Jumper.,1,4:47,FALSE,
38,JumpShot,Kennedy Townsend missed Three Point Jumper.,1,4:17,FALSE,
41,JumpShot,Morgan Maly missed Three Point Jumper.,1,3:46,FALSE,
51,JumpShot,Kiki Rice made Three Point Jumper.,1,2:50,FALSE,
61,JumpShot,Angela Dugalic missed Three Point Jumper.,1,1:38,FALSE,
69,JumpShot,Kiki Rice made Three Point Jumper. Assisted by Elina Aarnisalo.,1,0:56,FALSE,
79,JumpShot,Timea Gardiner missed Three Point Jumper.,1,0:00,TRUE,ucla-maybe
94,JumpShot,Kiani Lockett made Three Point Jumper. Assisted by Molly Mogensen.,2,8:12,TRUE,creighton
97,JumpShot,Lauren Jensen missed Three Point Jumper.,2,7:19,FALSE,
105,JumpShot,Jayme Horan missed Three Point Jumper.,2,6:23,FALSE,
111,JumpShot,Lauren Jensen missed Three Point Jumper.,2,5:40,FALSE,
113,JumpShot,Timea Gardiner missed Three Point Jumper.,2,5:32,TRUE,ucla
120,JumpShot,Morgan Maly missed Three Point Jumper.,2,5:13,FALSE,
122,JumpShot,Kiki Rice missed Three Point Jumper.,2,4:41,FALSE,
132,JumpShot,Kennedy Townsend made Three Point Jumper.,2,3:20,FALSE,
135,JumpShot,Allison Heathcock missed Three Point Jumper.,2,2:37,FALSE,
146,JumpShot,Timea Gardiner made Three Point Jumper. Assisted by Kiki Rice.,2,1:35,FALSE,
152,JumpShot,Molly Mogensen made Three Point Jumper. Assisted by Morgan Maly.,2,0:44,FALSE,
165,JumpShot,Elina Aarnisalo missed Three Point Jumper.,3,8:44,TRUE,ucla
171,JumpShot,Kiki Rice made Three Point Jumper. Assisted by Angela Dugalic.,3,8:02,FALSE,
172,JumpShot,Jayme Horan missed Three Point Jumper.,3,7:46,FALSE,
175,JumpShot,Allison Heathcock missed Three Point Jumper.,3,7:15,FALSE,not even a three
182,JumpShot,Kennedy Townsend missed Three Point Jumper.,3,6:27,FALSE,
187,JumpShot,Kiani Lockett missed Three Point Jumper.,3,5:51,FALSE,
201,JumpShot,Londynn Jones missed Three Point Jumper.,3,4:08,FALSE,
215,JumpShot,Kennedy Townsend made Three Point Jumper. Assisted by Morgan Maly.,3,2:05,FALSE,
221,JumpShot,Kendall Dudley missed Three Point Jumper.,3,1:12,FALSE,
223,JumpShot,Kennedy Townsend missed Three Point Jumper.,3,1:04,FALSE,
226,JumpShot,Elina Aarnisalo missed Three Point Jumper.,3,0:41,FALSE,
228,JumpShot,Morgan Maly made Three Point Jumper. Assisted by Kiani Lockett.,3,0:32,FALSE,
229,JumpShot,Londynn Jones made Three Point Jumper. Assisted by Angela Dugalic.,3,0:15,FALSE,
237,JumpShot,Timea Gardiner missed Three Point Jumper.,4,9:15,TRUE,ucla
283,JumpShot,Avary Cain missed Three Point Jumper.,4,3:26,FALSE,
293,JumpShot,Londynn Jones missed Three Point Jumper.,4,2:17,FALSE,
295,JumpShot,Londynn Jones missed Three Point Jumper.,4,2:10,FALSE,
305,JumpShot,Kiani Lockett missed Three Point Jumper.,4,1:08,FALSE,
308,JumpShot,Angela Dugalic missed Three Point Jumper.,4,0:48,FALSE,
311,JumpShot,Avary Cain missed Three Point Jumper.,4,0:19,FALSE,
313,JumpShot,Brooke Littrell missed Three Point Jumper.,4,0:09,FALSE,