TEAM,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT- MR,%PTS 3PT,%PTS FBPs,%PTS FT,%PTS OffTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
New York Liberty,27,23,4,40,56.6,43.4,48.1,6.4,36.1,14.7,15.8,17.7,41.7,65,35,90,10,73.3,26.7
Connecticut Sun,25,19,6,40.4,73.2,26.8,58.2,11.6,21.3,11.4,20.5,23.1,46.6,61.1,38.9,91.7,8.3,67.1,32.9
Minnesota Lynx,27,19,8,40.6,62.4,37.6,48.9,13.8,36,15,15,23,35.2,67.8,32.2,97.4,2.6,77.5,22.5
Seattle Storm,26,17,9,40.4,71.1,28.9,59.3,10.5,21.4,14.1,19.3,20.7,48.8,62.2,37.8,87.2,12.8,67.1,32.9
Las Vegas Aces,25,16,9,40.2,60.7,39.3,49.4,10,32,13.6,18.7,16.8,39.3,59,41,84.2,15.8,66.6,33.4
Phoenix Mercury,27,14,13,40.4,60.1,39.9,48.8,9.8,33.1,8.5,18.2,18,39,57,43,87.2,12.8,66.4,33.6
Indiana Fever,27,12,15,40,62.4,37.6,53.2,6.3,30.9,12.1,15.9,16,46.9,61.8,38.2,79.9,20.1,66.9,33.1
Chicago Sky,26,11,15,40,79.9,20.1,65.8,11.6,17.1,15.1,17.1,20.1,54.3,60.6,39.4,75.2,24.8,62.7,37.3
Atlanta Dream,25,8,17,40,73.6,26.4,58.4,15.4,21.1,11.3,20.5,17.7,43,62.4,37.6,88,12,67.4,32.6
Dallas Wings,26,6,20,40.4,73.3,26.7,61,12.2,21.9,11.9,17.2,19.8,48.8,60.9,39.1,78.2,21.8,64.2,35.8
Los Angeles Sparks,26,6,20,40.2,65.6,34.4,51.4,5.5,28.6,11.2,20,18.2,46,65.3,34.7,92.3,7.7,72.6,27.4
Washington Mystics,27,6,21,40.2,60.6,39.4,48.4,10,36.6,9.3,15.1,20.2,38.3,67.6,32.4,95.8,4.2,77.1,22.9