Team,Ast,Year
New York Liberty,601,2024
Phoenix Mercury,517,2024
Las Vegas Aces,503,2024
Indiana Fever,526,2024
Minnesota Lynx,598,2024
Seattle Storm,526,2024
Washington Mystics,572,2024
Dallas Wings,500,2024
Chicago Sky,478,2024
Los Angeles Sparks,501,2024
Connecticut Sun,462,2024
Atlanta Dream,448,2024
Las Vegas Aces,868,2023
New York Liberty,965,2023
Dallas Wings,813,2023
Connecticut Sun,826,2023
Atlanta Dream,744,2023
Chicago Sky,818,2023
Indiana Fever,720,2023
Washington Mystics,768,2023
Minnesota Lynx,776,2023
Los Angeles Sparks,760,2023
Seattle Storm,706,2023
Phoenix Mercury,762,2023
Las Vegas Aces,748,2022
Chicago Sky,874,2022
Connecticut Sun,759,2022
Dallas Wings,676,2022
Seattle Storm,813,2022
Minnesota Lynx,743,2022
Phoenix Mercury,692,2022
Washington Mystics,729,2022
New York Liberty,745,2022
Los Angeles Sparks,680,2022
Atlanta Dream,632,2022
Indiana Fever,649,2022
Las Vegas Aces,667,2021
Seattle Storm,681,2021
Chicago Sky,697,2021
Minnesota Lynx,653,2021
Phoenix Mercury,629,2021
Dallas Wings,555,2021
Washington Mystics,596,2021
Connecticut Sun,577,2021
Atlanta Dream,558,2021
New York Liberty,615,2021
Indiana Fever,534,2021
Los Angeles Sparks,494,2021
Las Vegas Aces,456,2020
Seattle Storm,482,2020
Chicago Sky,480,2020
Phoenix Mercury,448,2020
Los Angeles Sparks,440,2020
Minnesota Lynx,435,2020
Dallas Wings,343,2020
Indiana Fever,422,2020
Atlanta Dream,371,2020
Connecticut Sun,403,2020
Washington Mystics,434,2020
New York Liberty,327,2020
Washington Mystics,745,2019
Chicago Sky,733,2019
Las Vegas Aces,711,2019
Connecticut Sun,654,2019
Los Angeles Sparks,634,2019
Minnesota Lynx,689,2019
Indiana Fever,589,2019
New York Liberty,667,2019
Phoenix Mercury,607,2019
Seattle Storm,596,2019
Dallas Wings,518,2019
Atlanta Dream,533,2019
Connecticut Sun,666,2018
Seattle Storm,721,2018
Dallas Wings,614,2018
Phoenix Mercury,700,2018
Chicago Sky,721,2018
Washington Mystics,587,2018
Las Vegas Aces,668,2018
Atlanta Dream,618,2018
Minnesota Lynx,665,2018
Los Angeles Sparks,623,2018
New York Liberty,662,2018
Indiana Fever,544,2018
Dallas Wings,532,2017
Connecticut Sun,605,2017
Minnesota Lynx,696,2017
Los Angeles Sparks,634,2017
Seattle Storm,686,2017
Chicago Sky,718,2017
Phoenix Mercury,599,2017
Washington Mystics,556,2017
New York Liberty,567,2017
Atlanta Dream,598,2017
Indiana Fever,511,2017
San Antonio Stars,594,2017
Chicago Sky,620,2016
Minnesota Lynx,681,2016
Phoenix Mercury,571,2016
Connecticut Sun,568,2016
Los Angeles Sparks,692,2016
Dallas Wings,521,2016
Atlanta Dream,510,2016
New York Liberty,637,2016
Seattle Storm,644,2016
Washington Mystics,593,2016
Indiana Fever,601,2016
San Antonio Stars,551,2016
Chicago Sky,542,2015
Atlanta Dream,548,2015
Tulsa Shock,480,2015
Indiana Fever,506,2015
Minnesota Lynx,617,2015
Phoenix Mercury,552,2015
Connecticut Sun,536,2015
New York Liberty,569,2015
Los Angeles Sparks,621,2015
Washington Mystics,606,2015
Seattle Storm,569,2015
San Antonio Stars,516,2015
Phoenix Mercury,661,2014
Minnesota Lynx,690,2014
Tulsa Shock,519,2014
Atlanta Dream,659,2014
San Antonio Stars,621,2014
Los Angeles Sparks,631,2014
Chicago Sky,556,2014
Connecticut Sun,473,2014
Washington Mystics,577,2014
Indiana Fever,483,2014
New York Liberty,545,2014
Seattle Storm,565,2014
Minnesota Lynx,698,2013
Los Angeles Sparks,639,2013
Phoenix Mercury,574,2013
Chicago Sky,518,2013
Tulsa Shock,514,2013
Atlanta Dream,565,2013
Washington Mystics,541,2013
San Antonio Silver Stars,556,2013
Connecticut Sun,469,2013
Seattle Storm,469,2013
Indiana Fever,464,2013
New York Liberty,522,2013
Minnesota Lynx,706,2012
Los Angeles Sparks,604,2012
San Antonio Silver Stars,642,2012
Connecticut Sun,580,2012
Atlanta Dream,613,2012
Indiana Fever,563,2012
Tulsa Shock,521,2012
Chicago Sky,553,2012
Phoenix Mercury,465,2012
New York Liberty,532,2012
Seattle Storm,577,2012
Washington Mystics,530,2012
Phoenix Mercury,652,2011
Atlanta Dream,627,2011
Minnesota Lynx,617,2011
Connecticut Sun,583,2011
Indiana Fever,556,2011
San Antonio Silver Stars,617,2011
Los Angeles Sparks,617,2011
New York Liberty,534,2011
Chicago Sky,567,2011
Seattle Storm,545,2011
Washington Mystics,476,2011
Tulsa Shock,491,2011
Phoenix Mercury,686,2010
Atlanta Dream,666,2010
Seattle Storm,636,2010
Connecticut Sun,604,2010
New York Liberty,631,2010
Minnesota Lynx,507,2010
Indiana Fever,567,2010
Tulsa Shock,567,2010
Los Angeles Sparks,626,2010
Washington Mystics,473,2010
San Antonio Silver Stars,599,2010
Chicago Sky,581,2010
Phoenix Mercury,625,2009
Atlanta Dream,547,2009
Minnesota Lynx,509,2009
Detroit Shock,575,2009
Connecticut Sun,608,2009
San Antonio Silver Stars,598,2009
Sacramento Monarchs,540,2009
Indiana Fever,527,2009
Washington Mystics,453,2009
Chicago Sky,532,2009
Seattle Storm,536,2009
Los Angeles Sparks,574,2009
New York Liberty,515,2009
Phoenix Mercury,560,2008
Minnesota Lynx,557,2008
Connecticut Sun,607,2008
Detroit Shock,604,2008
Los Angeles Sparks,613,2008
New York Liberty,551,2008
Houston Comets,554,2008
San Antonio Silver Stars,601,2008
Sacramento Monarchs,473,2008
Atlanta Dream,492,2008
Seattle Storm,530,2008
Indiana Fever,500,2008
Chicago Sky,546,2008
Washington Mystics,483,2008
Phoenix Mercury,683,2007
Seattle Storm,533,2007
Detroit Shock,563,2007
Minnesota Lynx,596,2007
Connecticut Sun,594,2007
Washington Mystics,472,2007
Los Angeles Sparks,554,2007
Sacramento Monarchs,537,2007
Chicago Sky,597,2007
San Antonio Silver Stars,567,2007
Houston Comets,558,2007
Indiana Fever,511,2007
New York Liberty,487,2007
Phoenix Mercury,619,2006
Washington Mystics,576,2006
Connecticut Sun,630,2006
Seattle Storm,514,2006
Los Angeles Sparks,610,2006
Sacramento Monarchs,509,2006
Detroit Shock,572,2006
Minnesota Lynx,491,2006
San Antonio Silver Stars,540,2006
Houston Comets,532,2006
Charlotte Sting,527,2006
Indiana Fever,501,2006
Chicago Sky,509,2006
New York Liberty,457,2006
Seattle Storm,520,2005
Connecticut Sun,573,2005
Phoenix Mercury,549,2005
Sacramento Monarchs,527,2005
Los Angeles Sparks,551,2005
New York Liberty,498,2005
Houston Comets,467,2005
Washington Mystics,517,2005
Detroit Shock,474,2005
Minnesota Lynx,531,2005
Indiana Fever,493,2005
San Antonio Silver Stars,433,2005
Charlotte Sting,493,2005
Los Angeles Sparks,626,2004
Seattle Storm,552,2004
Detroit Shock,564,2004
Connecticut Sun,572,2004
Washington Mystics,467,2004
Sacramento Monarchs,519,2004
Phoenix Mercury,501,2004
New York Liberty,539,2004
Indiana Fever,555,2004
San Antonio Silver Stars,493,2004
Houston Comets,451,2004
Minnesota Lynx,526,2004
Charlotte Sting,426,2004
Detroit Shock,545,2003
Los Angeles Sparks,587,2003
Seattle Storm,548,2003
Connecticut Sun,520,2003
Minnesota Lynx,580,2003
Indiana Fever,539,2003
Washington Mystics,568,2003
Sacramento Monarchs,568,2003
Houston Comets,465,2003
New York Liberty,527,2003
Cleveland Rockers,517,2003
Charlotte Sting,499,2003
San Antonio Silver Stars,428,2003
Phoenix Mercury,461,2003
Los Angeles Sparks,583,2002
Utah Starzz,478,2002
Orlando Miracle,446,2002
Charlotte Sting,496,2002
Portland Fire,492,2002
Seattle Storm,514,2002
Sacramento Monarchs,500,2002
Washington Mystics,516,2002
Detroit Shock,478,2002
Indiana Fever,447,2002
Phoenix Mercury,427,2002
New York Liberty,496,2002
Houston Comets,450,2002
Cleveland Rockers,480,2002
Miami Sol,476,2002
Minnesota Lynx,466,2002
Los Angeles Sparks,596,2001
Sacramento Monarchs,558,2001
Utah Starzz,524,2001
New York Liberty,553,2001
Indiana Fever,458,2001
Orlando Miracle,452,2001
Detroit Shock,469,2001
Portland Fire,451,2001
Minnesota Lynx,437,2001
Phoenix Mercury,514,2001
Charlotte Sting,467,2001
Houston Comets,426,2001
Cleveland Rockers,503,2001
Miami Sol,467,2001
Washington Mystics,424,2001
Seattle Storm,412,2001
Houston Comets,494,2000
Los Angeles Sparks,586,2000
Utah Starzz,522,2000
Sacramento Monarchs,567,2000
Detroit Shock,503,2000
Phoenix Mercury,465,2000
Indiana Fever,501,2000
Orlando Miracle,473,2000
Minnesota Lynx,495,2000
Charlotte Sting,551,2000
Cleveland Rockers,539,2000
Washington Mystics,521,2000
Portland Fire,480,2000
New York Liberty,477,2000
Miami Sol,415,2000
Seattle Storm,390,2000
Los Angeles Sparks,581,1999
Sacramento Monarchs,500,1999
Houston Comets,499,1999
Utah Starzz,552,1999
Detroit Shock,464,1999
Orlando Miracle,467,1999
Phoenix Mercury,510,1999
New York Liberty,522,1999
Charlotte Sting,568,1999
Washington Mystics,461,1999
Minnesota Lynx,525,1999
Cleveland Rockers,489,1999
Houston Comets,428,1998
Phoenix Mercury,543,1998
Cleveland Rockers,575,1998
Los Angeles Sparks,472,1998
Charlotte Sting,512,1998
Utah Starzz,481,1998
Detroit Shock,432,1998
New York Liberty,513,1998
Washington Mystics,397,1998
Sacramento Monarchs,463,1998
Los Angeles Sparks,495,1997
Houston Comets,389,1997
Cleveland Rockers,456,1997
Phoenix Mercury,437,1997
New York Liberty,484,1997
Sacramento Monarchs,404,1997
Charlotte Sting,485,1997
Utah Starzz,425,1997
League Average,447,1997