Rk,Date,Age,Tm,,Opp,white_tee,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,27-280,LVA,,PHO,0,1,34:40:00,10,22,0.455,0,2,0,10,11,0.909,3,10,13,5,1,3,1,2,30,28.1
2,2024-05-18,27-284,LVA,,LAS,0,1,31:52:00,9,20,0.45,1,2,0.5,3,4,0.75,4,6,10,1,3,2,2,3,22,17.7
3,2024-05-21,27-287,LVA,,PHO,0,1,32:22:00,8,18,0.444,0,0,,5,8,0.625,2,11,13,2,0,3,1,2,21,16.8
4,2024-05-25,27-291,LVA,,IND,0,1,30:44:00,12,18,0.667,1,2,0.5,4,4,1,2,13,15,2,1,1,0,1,29,29.2
5,2024-05-29,27-295,LVA,@,MIN,0,1,31:59:00,11,23,0.478,0,1,0,7,10,0.7,3,12,15,3,2,4,2,2,29,25.9
6,2024-05-31,27-297,LVA,@,ATL,0,1,35:12:00,12,27,0.444,0,1,0,4,4,1,0,9,9,3,1,4,1,2,28,20.7
7,2024-06-05,27-302,LVA,@,DAL,0,1,33:34:00,15,22,0.682,1,1,1,5,6,0.833,5,7,12,2,6,1,3,1,36,36.5
8,2024-06-07,27-304,LVA,,SEA,0,1,36:00:00,8,20,0.4,0,1,0,13,14,0.929,1,10,11,0,1,3,3,2,29,20.8
9,2024-06-09,27-306,LVA,@,LAS,0,1,37:13:00,10,17,0.588,2,2,1,9,11,0.818,1,7,8,5,2,6,1,2,31,33
10,2024-06-11,27-308,LVA,,MIN,0,1,32:58:00,9,18,0.5,1,2,0.5,9,10,0.9,2,6,8,3,2,0,1,3,28,23.7
11,2024-06-13,27-310,LVA,@,PHO,0,1,34:19:00,10,17,0.588,1,1,1,11,11,1,6,9,15,2,1,2,3,3,32,30.6
12,2024-06-15,27-312,LVA,,NYL,0,1,35:46:00,9,16,0.563,0,1,0,3,4,0.75,0,9,9,3,0,1,2,4,21,14.9
13,2024-06-19,27-316,LVA,,SEA,0,1,32:27:00,11,18,0.611,0,0,,5,7,0.714,2,7,9,3,4,2,0,2,27,28.2
14,2024-06-21,27-318,LVA,,CON,0,1,34:15:00,9,17,0.529,0,2,0,8,8,1,4,12,16,1,2,2,3,1,26,24.8
15,2024-06-27,27-324,LVA,@,CHI,0,1,33:44:00,10,19,0.526,1,2,0.5,10,12,0.833,2,4,6,3,2,2,3,2,31,25.2
16,2024-06-29,27-326,LVA,@,WAS,0,1,32:24:00,4,15,0.267,0,1,0,3,4,0.75,0,9,9,5,2,1,1,3,11,8.4
17,2024-07-02,27-329,LVA,,IND,0,1,36:10:00,13,22,0.591,0,0,,2,3,0.667,2,7,9,1,2,5,0,2,28,26.3
18,2024-07-04,27-331,LVA,,WAS,0,1,26:13:00,9,12,0.75,0,1,0,0,0,,0,9,9,4,3,3,2,3,18,20.6
19,2024-07-05,27-332,LVA,@,LAS,0,1,41:28:00,13,23,0.565,0,3,0,9,9,1,0,12,12,3,0,6,2,5,35,30
20,2024-07-07,27-334,LVA,,DAL,0,1,31:12:00,11,22,0.5,3,4,0.75,3,4,0.75,3,7,10,2,1,2,2,0,28,22.6
21,2024-07-10,27-337,LVA,@,SEA,0,1,35:08:00,7,18,0.389,0,2,0,10,10,1,2,18,20,2,3,4,0,0,24,28.2
22,2024-07-12,27-339,LVA,@,ATL,0,1,37:20:00,13,23,0.565,3,4,0.75,4,4,1,2,16,18,1,3,5,0,2,33,34.7
23,2024-07-14,27-341,LVA,@,WAS,0,1,36:03:00,12,19,0.632,0,1,0,4,4,1,4,13,17,1,0,2,2,1,28,25.9
24,2024-07-16,27-343,LVA,,CHI,0,1,36:34:00,9,21,0.429,1,2,0.5,9,10,0.9,3,11,14,0,3,5,2,0,28,26.4
25,2024-08-17,28-009,LVA,,NYL,0,1,35:40:00,8,15,0.533,1,1,1,7,8,0.875,0,11,11,0,3,3,0,0,24,24.7
26,2024-08-18,28-010,LVA,,LAS,1,1,33:59:00,12,20,0.6,0,0,,10,11,0.909,1,12,13,0,5,2,1,1,34,33.7
27,2024-08-21,28-013,LVA,,MIN,0,1,33:07:00,7,14,0.5,0,1,0,1,2,0.5,5,4,9,6,2,0,0,0,15,18.5
28,2024-08-23,28-015,LVA,@,MIN,1,1,32:56:00,8,17,0.471,0,2,0,8,9,0.889,0,7,7,3,0,0,3,4,24,14.5
29,2024-08-25,28-017,LVA,@,CHI,1,1,32:46:00,8,28,0.286,0,1,0,4,5,0.8,6,12,18,2,2,3,0,2,20,15.7
30,2024-08-27,28-019,LVA,@,DAL,1,1,36:45:00,16,22,0.727,0,2,0,10,13,0.769,2,4,6,2,1,3,1,2,42,37.1
31,2024-08-30,28-022,LVA,,ATL,1,1,37:21:00,9,17,0.529,0,1,0,8,10,0.8,2,14,16,5,0,5,0,1,26,29.1
32,2024-09-01,28-024,LVA,@,PHO,1,1,34:01:00,16,23,0.696,2,6,0.333,7,9,0.778,4,13,17,2,2,1,0,3,41,40.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,normal avg,,26.61538462,,,,
,,,,,,,,,,,,,,,,,,,,,tee avg,,31.16666667,,,,