game,fourth_start,fourth_end,length_mins,url
jan_17_owls_mist,51:58:00,1:02:59,11:01,https://youtu.be/Opb0mEiGYHQ?si=2deP6iJ4AFjNzM9H
jan_17_vinyl_rose,50:00:00,1:06:13,16:13,https://youtu.be/QTmVZSSKQsc?si=Wnc3UksOQKUvTzuk
jan_18_laces_phantom,46:00:00,52:24:00,6:24,https://youtu.be/gm1CydDLnjk?si=8CFwDNuTQuQ-zrFW
jan_18_rose_owls,45:17:00,55:31:00,10:14,https://youtu.be/Cpe0-DOqvqI?si=DZfGIiV-YMtJALn3
jan_20_phantom_vinyl,45:47:00,51:13:00,5:26,https://youtu.be/pEeh7-ox2AI?si=BWYqIRVpuvtZKySp
jan_20_mist_laces,45:18:00,49:32:00,4:14,https://youtu.be/eVkeHsopxb8?si=BRuXrEYKUAAtq9Rb
jan_24_mist_phantom,50:43:00,1:04:56,14:13,https://youtu.be/vA4s3rWr8Po?si=mE9uNMWoKcbvKTKS
jan_24_vinyl_laces,42:27:00,54:11:00,11:44,https://youtu.be/UPPxMyJjL-E?si=J0Fv-h58Si8_-t7V
jan_25_rose_mist,47:08:00,54:28:00,7:20,https://youtu.be/DkEozrV0-Bk?si=yh1257hIvyizxwhf
jan_25_phantom_owls,47:06:00,52:45:00,5:39,https://youtu.be/PoPuRswdRCU?si=YH9tdXId1ghFBC-v
jan_27_owls_vinyl,42:42:00,51:54:00,9:12,https://youtu.be/i2fViVuiT3c?si=wcesjSYUbyd9Um7w
jan_27_laces_rose,53:05:00,1:12:17,9:12,https://youtu.be/JJZVpfEjMCU?si=r7Y3GZUZRFtlcO6u
jan_31_rose_phantom,48:05:00,56:51:00,8:46,https://youtu.be/s7C_otAj8oA?si=7m0mal2ZOGaqF6Bj
jan_31_owls_laces,49:25:00,56:48:00,7:23,https://youtu.be/M3j9Sj_SQL0?si=WJyYnaxzQlTWrN5f
feb_1_vinyl_mist,,,,
feb_1_laces_rose,,,,
feb_3_phantom_mist,,,,
feb_3_vinyl_owls,,,,
feb_7_owls_phantom,48:22:00,53:37:00,5:15,https://youtu.be/FrfjHjG5CTg?si=maxV2TufaF-5hCtl
feb_7_rose_mist,46:19:00,53:47:00,7:28,https://youtu.be/A15D55Lh8Vw?si=c6sElnipHzBZAOm8
feb_8_mist_owls,54:51:00,1:11:52,17:01,https://youtu.be/aP-SqLmFrFo?si=c3SmkSca6LUqFip-
,,,,
,,,9:13,
,,,0.0250821355,